Hourly_DateTime,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,ZenithDeviation
2016-11-23 01:00:00,1.19,43.0,30.4,98.42,149.27,8.62,641.5
2016-11-23 02:00:00,1.19,42.83,30.4,90.83,137.38,6.09,581.5
2016-11-23 03:00:00,1.19,40.83,30.4,83.58,148.36,4.87,521.5
2016-11-23 04:00:00,1.18,40.75,30.39,88.83,145.97,7.59,461.5
2016-11-23 05:00:00,1.19,40.92,30.39,86.92,145.91,6.93,401.5
2016-11-23 06:00:00,6.2,41.83,30.42,92.5,138.65,7.22,341.5
2016-11-23 07:00:00,79.89,44.58,30.43,100.33,136.65,9.47,281.5
2016-11-23 08:00:00,395.07,47.25,30.45,94.17,124.66,6.56,221.5
2016-11-23 09:00:00,615.42,50.42,30.45,88.83,99.4,6.47,161.5
2016-11-23 10:00:00,753.83,51.33,30.45,90.08,98.38,6.47,101.5
2016-11-23 11:00:00,826.64,51.25,30.43,89.67,90.15,9.28,41.5
2016-11-23 12:00:00,816.12,52.17,30.42,86.0,48.92,6.37,20.67
2016-11-23 13:00:00,778.56,52.08,30.41,83.25,110.91,7.59,78.5
2016-11-23 14:00:00,567.46,51.33,30.4,86.08,81.33,7.12,138.5
2016-11-23 15:00:00,283.17,50.55,30.4,82.73,119.51,5.62,198.27
2016-11-23 16:00:00,174.45,48.92,30.41,80.0,90.67,4.78,258.5
2016-11-23 17:00:00,28.22,46.25,30.42,81.75,137.16,6.84,318.5
2016-11-23 18:00:00,1.21,44.33,30.44,79.25,144.37,6.37,378.5
2016-11-23 19:00:00,1.21,44.5,30.45,92.83,136.52,5.25,438.5
2016-11-23 20:00:00,1.21,45.58,30.46,98.33,138.94,7.31,498.5
2016-11-23 21:00:00,1.2,44.67,30.47,97.67,156.32,5.72,558.5
2016-11-23 22:00:00,1.2,44.0,30.48,94.5,143.04,6.37,618.5
2016-11-23 23:00:00,1.2,44.0,30.47,90.25,149.72,8.15,678.5
2016-11-24 00:00:00,1.2,43.08,30.46,76.17,153.64,8.25,701.5
2016-11-24 01:00:00,1.21,42.67,30.45,64.42,149.44,6.47,641.5
2016-11-24 02:00:00,1.2,42.58,30.44,65.33,146.98,7.78,581.5
2016-11-24 03:00:00,1.19,43.67,30.44,94.75,146.19,8.15,521.5
2016-11-24 04:00:00,1.19,42.58,30.44,95.17,160.24,7.69,461.5
2016-11-24 05:00:00,1.19,41.92,30.45,72.33,160.32,8.34,401.5
2016-11-24 06:00:00,6.02,43.5,30.46,86.42,149.01,7.96,341.5
2016-11-24 07:00:00,86.1,45.42,30.47,99.67,144.66,8.53,281.5
2016-11-24 08:00:00,374.02,46.67,30.48,99.42,99.08,4.5,221.5
2016-11-24 09:00:00,618.4,50.92,30.49,73.25,83.65,5.06,161.5
2016-11-24 10:00:00,608.04,50.0,30.49,88.92,118.42,7.4,101.5
2016-11-24 11:00:00,662.74,51.67,30.47,85.67,117.29,6.84,41.5
2016-11-24 12:00:00,531.82,50.0,30.46,98.25,77.7,6.93,19.83
2016-11-24 13:00:00,558.83,49.92,30.45,97.08,84.0,6.75,77.5
2016-11-24 14:00:00,517.54,52.33,30.44,86.92,96.59,6.37,137.5
2016-11-24 15:00:00,203.71,48.17,30.44,99.5,83.03,6.94,197.5
2016-11-24 16:00:00,139.94,45.92,30.45,100.17,111.23,8.34,257.5
2016-11-24 17:00:00,32.8,44.58,30.46,92.92,131.49,8.06,317.5
2016-11-24 18:00:00,1.21,45.08,30.48,94.0,137.31,7.4,377.5
2016-11-24 19:00:00,1.22,45.75,30.49,100.0,141.8,7.78,437.5
2016-11-24 20:00:00,1.21,45.08,30.5,98.67,137.66,6.37,497.5
2016-11-24 21:00:00,1.22,46.33,30.5,100.58,141.92,6.56,557.5
2016-11-24 22:00:00,1.21,45.25,30.5,99.75,141.28,8.53,617.5
2016-11-24 23:00:00,1.22,45.92,30.5,97.0,139.02,7.97,677.5
2016-11-25 00:00:00,1.22,45.92,30.49,100.42,146.82,7.87,701.5
2016-11-25 01:00:00,1.21,46.58,30.49,100.67,122.22,8.72,641.5
2016-11-25 02:00:00,1.21,45.42,30.47,97.42,138.69,7.69,581.5
2016-11-25 03:00:00,1.21,46.0,30.46,101.0,136.13,5.44,521.5
2016-11-25 04:00:00,1.21,45.45,30.46,100.64,136.91,9.2,460.82
2016-11-25 05:00:00,1.22,46.42,30.46,100.33,144.7,7.78,401.5
2016-11-25 06:00:00,3.32,46.5,30.47,101.0,129.94,5.9,341.5
